"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"z-score"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(q-value(Storey et al. 2003) < 0.5)"
Syt8	4	2	1	0.998967221085451	0.823444390030606	0.410255328583156	0.69624690488392	0.495425733929068	TRUE
Cmtm2a	4	2	1	0.998967221085451	0.823444390030606	0.410255328583156	0.69624690488392	0.495425733929068	TRUE
Chrnb4	4	2	1	0.998967221085451	0.823444390030606	0.410255328583156	0.69624690488392	0.495425733929068	TRUE
Snx22	4	2	1	0.998967221085451	0.823444390030606	0.410255328583156	0.69624690488392	0.495425733929068	TRUE
Spry3	4	2	1	0.998967221085451	0.823444390030606	0.410255328583156	0.69624690488392	0.495425733929068	TRUE
Fa2h	21	16	0.392317422778761	0.391284643864212	0.82108574119025	0.411597431309776	0.695853941098904	0.4958132080379	TRUE
Gm15867	10	14	-0.485426827170242	-0.486459606084791	-0.820142908967414	0.412134643441841	0.695833145272897	0.4958132080379	TRUE
2610507I01Rik	10	14	-0.485426827170242	-0.486459606084791	-0.820142908967414	0.412134643441841	0.695833145272897	0.4958132080379	TRUE
Cfap52	10	14	-0.485426827170242	-0.486459606084791	-0.820142908967414	0.412134643441841	0.695833145272897	0.4958132080379	TRUE
Impg2	10	14	-0.485426827170242	-0.486459606084791	-0.820142908967414	0.412134643441841	0.695833145272897	0.4958132080379	TRUE
1700102H20Rik	10	14	-0.485426827170242	-0.486459606084791	-0.820142908967414	0.412134643441841	0.695833145272897	0.4958132080379	TRUE
Ifit1bl1	10	14	-0.485426827170242	-0.486459606084791	-0.820142908967414	0.412134643441841	0.695833145272897	0.4958132080379	TRUE
Mpped2	10	14	-0.485426827170242	-0.486459606084791	-0.820142908967414	0.412134643441841	0.695833145272897	0.4958132080379	TRUE
Plag1	10	14	-0.485426827170242	-0.486459606084791	-0.820142908967414	0.412134643441841	0.695833145272897	0.4958132080379	TRUE
Ccrl2	10	14	-0.485426827170242	-0.486459606084791	-0.820142908967414	0.412134643441841	0.695833145272897	0.4958132080379	TRUE
Cml1	24	30	-0.321928094887363	-0.322960873801911	-0.819962729378621	0.412237354460691	0.695500740102104	0.49583863000668	TRUE
Gm11423	14	10	0.485426827170242	0.484394048255693	0.816660497302793	0.414122472002636	0.697329776659178	0.497052528625753	TRUE
Naprt	14	10	0.485426827170242	0.484394048255693	0.816660497302793	0.414122472002636	0.697329776659178	0.497052528625753	TRUE
A230056P14Rik	14	10	0.485426827170242	0.484394048255693	0.816660497302793	0.414122472002636	0.697329776659178	0.497052528625753	TRUE
LOC100504703	30	24	0.321928094887363	0.320895315972814	0.814718501446927	0.415233460493103	0.698103424406571	0.497634079628925	TRUE
4931440P22Rik	30	24	0.321928094887363	0.320895315972814	0.814718501446927	0.415233460493103	0.698103424406571	0.497634079628925	TRUE
Aldob	30	24	0.321928094887363	0.320895315972814	0.814718501446927	0.415233460493103	0.698103424406571	0.497634079628925	TRUE
Ahnak	11878	10609	0.163003262922112	0.161970484007564	8.41592475175774	3.89807481783591e-17	1.69675887930114e-14	1.209658810774e-14	FALSE
Hspg2	5309	4558	0.220039216858435	0.219006437943886	7.53050489503033	5.05444961882338e-14	1.35391209116521e-11	9.65235373199289e-12	FALSE
Steap2	3716	4378	-0.236521452798293	-0.237554231712842	-7.39607459480907	1.40269228963525e-13	3.20296736103761e-11	2.28346981776014e-11	FALSE
Wnk1	6487	5683	0.190898723427024	0.189865944512475	7.25351792563673	4.06083607912287e-13	8.44229638001528e-11	6.01870915415934e-11	FALSE
Col4a5	3763	4398	-0.224964314787087	-0.225997093701636	-7.06645563192509	1.5894095826822e-12	2.99174136178114e-10	2.1328818973537e-10	FALSE
